district_number,country_codes,clubs,members,coverage,highlights
3182,in,54,417,"Udupi , Chikkamagalur, Hassan & Shivamogga","Rotary International District 3182 is a vibrant and diverse entity that encompasses four revenue districts in Karnataka, India: Udupi, Shivamogga, Chikkamagluru, and Hassan. As part of the global Rotary community, District 3182 is committed to fostering goodwill, promoting humanitarian efforts, and enhancing cultural understanding. Each of the four constituent districts, with its unique cultural and geographic heritage, contributes to the rich tapestry of this dynamic district."
3191,in,83,"1,908","Bangalore, Ramanagara, Kolar, Chittoor & Tirupati",
3192,in,86,"2,025","Bangalore Urban, Bangalore Rural, Tumkur, Chikkabalapur, Mandya",
3203,in,71,"1,438","Tirupur, Erode, Nilgiris, Part of Coimbatore   Tamilnadu",Rise As One
3204,in,26,252,"Kerala: Kasargode, Kannur, malappuram, kozhikode, mahe, wayanad",
3205,in,38,633,"Coimbatore, Palakkad, Thirssur, Kochi, Idukki","RI District 3201 is a Rotary sponsored Community Organization formed in July 2008 which covers few regions of the Southern Indian States of Tamil Nadu and Kerala.

Efficiently functioning in the revenue districts of Coimbatore, Kochi, Idukki, Palakkad and Thrissur, the District consists of 99 active Clubs and the count is still rising ! 3201 is strong and sound with 2,300 vibrant, enthusiastic young Rotaractors. Rotaract 3201 have become a wide platform to various youngsters to improve their skills and become the future leaders and entrepreneurs, also achieving their ultimate goals of serving the society with humanity."
3206,in,104,"1,793",Coimbatore & Palakkad,"Rotaract District 3206 is a vibrant youth movement under Rotary International, representing a strong network of clubs across regions of Coimbatore and Palakkad. Built on a foundation of leadership, service, and fellowship, the district is committed to empowering young individuals to become changemakers, transforming ideas into action, and turning passion into purpose.

Our guiding motto is “Fellowship through Service,” reflecting our belief that meaningful community impact and personal growth go hand-in-hand.

OUR MISSION
To unite clubs and members within District 3206 under transparent leadership, collective service, and mutual support — delivering purposeful solutions for communities and fostering a brighter future for all.

OUR VISION
To cultivate a lively, welcoming, and inclusive district that uplifts communities through committed service, empowers youth leadership, and builds long-lasting positive change through solidarity and support.

WHAT WE STAND FOR
* Building a collaborative and supportive network of clubs and Rotaractors, from campus-based to community-based clubs.
* Promoting youth engagement, leadership development, and social responsibility through service initiatives, community projects, and fellowship events. 
* Encouraging transparency, trust, and unity across the district as we grow together in purpose and impact.
* Fostering a spirit of innovation, compassion and collective action — where each Rotaractor can contribute meaningfully to society while also growing as a leader.

GOALS & SCALE
Rotaract District 3206 aims to bridging both campus-based and community-based clubs to promote youth engagement, environmental awareness, social service and leadership.

With a team of dedicated leaders, Rotaract 3206 continues to plan and execute impactful initiatives — from community projects to district-wide events — offering its members opportunities for growth, service, fellowship, and lasting impact."
3211,in,33,507,"Kottayam, Kollam, pathanamthitta,  Thiruvananthapuram, Allappy (Kerala)",Service with Humanity
3212,in,86,623,,
3220,lk;mv,95,"4,063",Sri Lanka and Maldives,"RID 3220 successfully held the 36th Rotaract District Assembly on 27th of June, 2026."
3231,in,44,959,,
3233,in,70,"5,839",Chennai,Rotaract Business Forum.
3234,in,74,"1,835",Chennai.,Rotaract Business Forum.
3240,in,56,812,"Assam, Meghalaya, Mizoram, Nagaland, Arunachal Pradesh, Manipur, Tripura, Sikkim and 8 revenue Districts of West Bengal",15 new clubs chartered
3250,in,42,586,Whole state of Bihar & Jharkhand,"From the land of Enlightenment and Salvation to land of forest and minerals. From the Lord Buddha, Lord Mahavira and Bhagwan Birsha Munda this land is blessed with many legendary personalities. Being the cradle of civilization, Bihar also homes to the World’s first republic - Vaishali, World’s biggest stupa at Kesaria and country’s oldest capital - Rajgir and one of the oldest universities- Nalanda. Jharkhand being the home to India’s finest mineral reserves, state is known for its waterfalls, hills and holy places; Baidyanath Dham, Parasnath, Dewri and Rajrappa are major religious sites. 

Together, Bihar and Jharkhand forms an amalgam of unique cultural heritage full of diverse ethnic communities and traditions."
3261,in,17,98,,
3262,in,73,650,"26 revenue districts of Odisha like Balasore, Cuttack, Bhubaneswar, Puri, Angul, Berhampur, Koraput",
3271,pk,30,296,,
3292,np;bt,189,"4,495",Nepal & Bhutan,We are a Network of 189 clubs in Nepal
